State/UT,Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
Uttar Pradesh,Misrikh,32,ASHOK KUMAR RAWAT,Bharatiya Janata Party,SANGITA RAJVANSHI,Samajwadi Party,33406,Result Declared
Uttar Pradesh,Mohanlalganj,34,R.K. CHAUDHARY,Samajwadi Party,KAUSHAL KISHORE,Bharatiya Janata Party,70292,Result Declared
Uttar Pradesh,Moradabad,6,RUCHI VIRA,Samajwadi Party,KUNWAR SARVESH KUMAR,Bharatiya Janata Party,105762,Result Declared
Uttar Pradesh,Muzaffarnagar,3,HARENDRA SINGH MALIK,Samajwadi Party,SANJEEV KUMAR BALYAN,Bharatiya Janata Party,24672,Result Declared
Uttar Pradesh,Nagina,5,CHANDRASHEKHAR,Aazad Samaj Party (Kanshi Ram),OM KUMAR,Bharatiya Janata Party,151473,Result Declared
Uttar Pradesh,Phulpur,51,PRAVEEN PATEL,Bharatiya Janata Party,AMAR NATH SINGH MAURYA,Samajwadi Party,4332,Result Declared
Uttar Pradesh,Pilibhit,26,JITIN PRASADA,Bharatiya Janata Party,BHAGWAT SARAN GANGWAR,Samajwadi Party,164935,Result Declared
Uttar Pradesh,Pratapgarh,39,SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party,SANGAM LAL GUPTA,Bharatiya Janata Party,66206,Result Declared
Uttar Pradesh,Rae Bareli,36,RAHUL GANDHI,Indian National Congress,DINESH PRATAP SINGH,Bharatiya Janata Party,390030,Result Declared
Uttar Pradesh,Rampur,7,MOHIBBULLAH,Samajwadi Party,GHANSHYAM SINGH LODHI,Bharatiya Janata Party,87434,Result Declared
Uttar Pradesh,Robertsganj,80,CHHOTELAL,Samajwadi Party,RINKI SINGH,Apna Dal (Soneylal),129234,Result Declared
Uttar Pradesh,Saharanpur,1,IMRAN MASOOD,Indian National Congress,RAGHAV LAKHANPAL,Bharatiya Janata Party,64542,Result Declared
Uttar Pradesh,Salempur,71,RAMASHANKAR RAJBHAR,Samajwadi Party,RAVINDAR KUSHAWAHA,Bharatiya Janata Party,3573,Result Declared
Uttar Pradesh,Sambhal,8,ZIA UR REHMAN,Samajwadi Party,PARMESHWAR LAL SAINI,Bharatiya Janata Party,121494,Result Declared
Uttar Pradesh,Sant Kabir Nagar,62,LAXMIKANT PAPPU NISHAD,Samajwadi Party,PRAVIN KUMAR NISHAD,Bharatiya Janata Party,92170,Result Declared
Uttar Pradesh,Shahjahanpur,27,ARUN KUMAR SAGAR,Bharatiya Janata Party,JYOTSNA GOND,Samajwadi Party,55379,Result Declared
Uttar Pradesh,Shrawasti,58,RAM SHIROMANI VERMA,Samajwadi Party,SAKET MISRA,Bharatiya Janata Party,76673,Result Declared
Uttar Pradesh,Sitapur,30,RAKESH RATHOR,Indian National Congress,RAJESH VERMA,Bharatiya Janata Party,89641,Result Declared
Uttar Pradesh,Sultanpur,38,RAMBHUAL NISHAD,Samajwadi Party,MANEKA SANJAY GANDHI,Bharatiya Janata Party,43174,Result Declared
Uttar Pradesh,Unnao,33,SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party,ANNU TANDON,Samajwadi Party,35818,Result Declared
Uttar Pradesh,Varanasi,77,NARENDRA MODI,Bharatiya Janata Party,AJAY RAI,Indian National Congress,152513,Result Declared
Uttarakhand,Almora,3,AJAY TAMTA,Bharatiya Janata Party,PRADEEP TAMTA,Indian National Congress,234097,Result Declared
Uttarakhand,Garhwal,2,ANIL BALUNI,Bharatiya Janata Party,GANESH GODIYAL,Indian National Congress,163503,Result Declared
Uttarakhand,Haridwar,5,TRIVENDRA SINGH RAWAT,Bharatiya Janata Party,VIRENDRA RAWAT,Indian National Congress,164056,Result Declared
Uttarakhand,Nainital-Udhamsingh Nagar,4,AJAY BHATT,Bharatiya Janata Party,PRAKASH JOSHI,Indian National Congress,334548,Result Declared
Uttarakhand,Tehri Garhwal,1,MALA RAJYA LAKSHMI SHAH,Bharatiya Janata Party,JOT SINGH GUNSOLA,Indian National Congress,272493,Result Declared
West Bengal,Alipurduars,2,MANOJ TIGGA,Bharatiya Janata Party,PRAKASH CHIK BARAIK,All India Trinamool Congress,75447,Result Declared
West Bengal,Arambagh,29,BAG MITALI,All India Trinamool Congress,ARUP KANTI DIGAR,Bharatiya Janata Party,6399,Result Declared
West Bengal,Asansol,40,SHATRUGHAN PRASAD SINHA,All India Trinamool Congress,SURENDRAJEET SINGH AHLUWALIA,Bharatiya Janata Party,59564,Result Declared
West Bengal,Baharampur,10,PATHAN YUSUF,All India Trinamool Congress,ADHIR RANJAN CHOWDHURY,Indian National Congress,85022,Result Declared
West Bengal,Balurghat,6,SUKANTA MAJUMDAR,Bharatiya Janata Party,BIPLAB MITRA,All India Trinamool Congress,10386,Result Declared
West Bengal,Bangaon,14,SHANTANU THAKUR,Bharatiya Janata Party,BISWAJIT DAS S/O LATE BIJAY KRISHNA DAS,All India Trinamool Congress,73693,Result Declared
West Bengal,Bankura,36,ARUP CHAKRABORTY,All India Trinamool Congress,DR. SUBHAS SARKAR,Bharatiya Janata Party,32778,Result Declared
West Bengal,Barasat,17,KAKOLI GHOSH DASTIDAR,All India Trinamool Congress,SWAPAN MAJUMDER,Bharatiya Janata Party,114189,Result Declared
West Bengal,Bardhaman Purba,38,DR. SHARMILA SARKAR,All India Trinamool Congress,ASIM KUMAR SARKAR,Bharatiya Janata Party,160572,Result Declared
West Bengal,Bardhaman-Durgapur,39,AZAD KIRTI JHA,All India Trinamool Congress,DILIP GHOSH,Bharatiya Janata Party,137981,Result Declared
West Bengal,Barrackpur,15,PARTHA BHOWMICK,All India Trinamool Congress,ARJUN SINGH,Bharatiya Janata Party,64438,Result Declared
West Bengal,Basirhat,18,SK NURUL ISLAM,All India Trinamool Congress,REKHA PATRA,Bharatiya Janata Party,333547,Result Declared
West Bengal,Birbhum,42,SATABDI ROY,All India Trinamool Congress,DEBTANU BHATTACHARYA,Bharatiya Janata Party,197650,Result Declared
West Bengal,Bishnupur,37,KHAN SAUMITRA,Bharatiya Janata Party,SUJATA MONDAL,All India Trinamool Congress,5567,Result Declared
West Bengal,Bolpur,41,ASIT KUMAR MAL,All India Trinamool Congress,PIYA SAHA,Bharatiya Janata Party,327253,Result Declared
West Bengal,Coochbehar,1,JAGADISH CHANDRA BARMA BASUNIA,All India Trinamool Congress,NISITH PRAMANIK,Bharatiya Janata Party,39250,Result Declared
West Bengal,Darjeeling,4,RAJU BISTA,Bharatiya Janata Party,GOPAL LAMA,All India Trinamool Congress,178525,Result Declared
West Bengal,Diamond harbour,21,ABHISHEK BANERJEE,All India Trinamool Congress,ABHIJIT DAS (BOBBY),Bharatiya Janata Party,710930,Result Declared
West Bengal,Dum dum,16,SOUGATA RAY,All India Trinamool Congress,SILBHADRA DATTA,Bharatiya Janata Party,70660,Result Declared
West Bengal,Ghatal,32,ADHIKARI DEEPAK (DEV),All India Trinamool Congress,DR. HIRANMOY CHATTOPADHYAYA,Bharatiya Janata Party,182868,Result Declared
West Bengal,Hooghly,28,RACHNA BANERJEE,All India Trinamool Congress,LOCKET CHATTERJEE,Bharatiya Janata Party,76853,Result Declared
West Bengal,Howrah,25,PRASUN BANERJEE,All India Trinamool Congress,DR RATHIN CHAKRAVARTY,Bharatiya Janata Party,169442,Result Declared
West Bengal,Jadavpur,22,SAYANI GHOSH,All India Trinamool Congress,DR. ANIRBAN GANGULY,Bharatiya Janata Party,258201,Result Declared
West Bengal,Jalpaiguri,3,DR JAYANTA KUMAR ROY,Bharatiya Janata Party,NIRMAL CHANDRA ROY,All India Trinamool Congress,86693,Result Declared
West Bengal,Jangipur,9,KHALILUR RAHAMAN,All India Trinamool Congress,MURTOJA HOSSAIN BOKUL,Indian National Congress,116637,Result Declared
West Bengal,Jhargram,33,KALIPADA SAREN (KHERWAL),All India Trinamool Congress,DR. PRANAT TUDU,Bharatiya Janata Party,174048,Result Declared
West Bengal,Joynagar,19,PRATIMA MONDAL,All India Trinamool Congress,ASHOK KANDARY,Bharatiya Janata Party,470219,Result Declared
West Bengal,Kanthi,31,ADHIKARI SOUMENDU,Bharatiya Janata Party,UTTAM BARIK SON OF LATE BIRENDRA BARIK,All India Trinamool Congress,47764,Result Declared
West Bengal,Kolkata Dakshin,23,MALA ROY,All India Trinamool Congress,DEBASREE CHAUDHURI,Bharatiya Janata Party,187231,Result Declared
West Bengal,Kolkata Uttar,24,BANDYOPADHYAY SUDIP,All India Trinamool Congress,TAPAS ROY,Bharatiya Janata Party,92560,Result Declared
West Bengal,Krishnanagar,12,MAHUA MOITRA,All India Trinamool Congress,AMRITA ROY,Bharatiya Janata Party,56705,Result Declared
West Bengal,Maldaha Dakshin,8,ISHA KHAN CHOUDHURY,Indian National Congress,SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI),Bharatiya Janata Party,128368,Result Declared
West Bengal,Maldaha Uttar,7,KHAGEN MURMU,Bharatiya Janata Party,PRASUN BANERJEE,All India Trinamool Congress,77708,Result Declared
West Bengal,Mathurapur,20,BAPI HALDAR,All India Trinamool Congress,ASHOK PURKAIT,Bharatiya Janata Party,201057,Result Declared
West Bengal,Medinipur,34,JUNE MALIAH,All India Trinamool Congress,AGNIMITRA PAUL,Bharatiya Janata Party,27191,Result Declared
West Bengal,Murshidabad,11,ABU TAHER KHAN,All India Trinamool Congress,MD SALIM,Communist Party of India (Marxist),164215,Result Declared
West Bengal,Purulia,35,JYOTIRMAY SINGH MAHATO,Bharatiya Janata Party,SHANTIRAM MAHATO,All India Trinamool Congress,17079,Result Declared
West Bengal,Raiganj,5,KARTICK CHANDRA PAUL,Bharatiya Janata Party,KALYANI KRISHNA,All India Trinamool Congress,68197,Result Declared
West Bengal,Ranaghat,13,JAGANNATH SARKAR,Bharatiya Janata Party,MUKUT MANI ADHIKARI,All India Trinamool Congress,186899,Result Declared
West Bengal,Srerampur,27,KALYAN BANERJEE,All India Trinamool Congress,KABIR SHANKAR BOSE,Bharatiya Janata Party,174830,Result Declared
West Bengal,Tamluk,30,ABHIJIT GANGOPADHYAY,Bharatiya Janata Party,DEBANGSHU BHATTACHARYA,All India Trinamool Congress,77733,Result Declared
West Bengal,Uluberia,26,SAJDA AHMED,All India Trinamool Congress,ARUNUDAY PAULCHOWDHURY,Bharatiya Janata Party,218673,Result Declared
